FTF_data,BPFO_data,BPFI_data,BSF_data,fault_type
2200.769903163529,4327.878763381344,8389.77679261573,2581.4463286008977,1
11539.62957408004,17578.102331493574,19151.411554522056,17345.107059849593,1
10422.500950807913,17890.496095398626,18704.516367829463,14969.934173062502,1
5505.022430604599,8882.389390613678,13984.08982540279,8147.900947591352,1
2520.057594806405,4167.467604027931,9068.81223789986,2888.956012387999,1
1509.6129985952791,5037.750576681898,9968.139956251507,2059.6753337644723,1
2181.370610600623,5452.249892881297,7047.560342827709,2884.22227231752,1
9669.307439270016,14376.895033764236,15427.42599856627,13688.813784463751,1
11429.454083899587,18402.437514822734,19801.915866686,17746.20031523482,1
7811.640860171172,13721.961499640423,16109.325257934472,11880.66879760575,1
4197.682580919694,7201.34626842462,9347.484222536616,5261.437602114941,1
1667.020679470863,4831.393212564431,11110.969642638402,2069.992751472721,1
8663.936965951074,13727.547482644402,17538.40457110276,13461.485019021213,1
2321.875454601517,4306.461888692258,9015.582979108993,2575.6547487951507,1
2642.0563664472543,4842.486643422475,8490.804629866616,3443.97320207385,1
6685.987386686462,9590.192423366068,11475.698336766212,9400.829782793582,1
9824.253729438558,17585.70691045082,18837.025257876016,17729.94841093821,1
8407.756877850687,13700.116220579854,15917.509965188028,12560.444117396804,1
3484.6406173321093,6028.902313813419,8155.638546032227,4310.045742628907,1
2580.0999535673186,5132.321999876544,7765.902682197278,3275.385618048647,1
2928.5092314858985,5534.505149535788,10128.415560837562,3462.561784078838,1
6119.204334482365,9345.264754241114,10477.584654929577,8022.346302476712,1
7963.731778667709,12532.88699290442,14655.790443091164,12406.1303469638,1
7591.111301517346,12238.65302682822,13623.227670096529,10748.826501275627,1
9839.38675930708,17275.745433635802,18745.97560399864,15725.22959930555,1
2880.086680268901,5530.556452813826,8658.992622946636,3553.370344039865,1
1855.5398561988557,4323.100818219124,7025.565012650352,2562.1370939523927,1
2796.676730432033,6011.298916883087,7798.995779778374,3382.0219655733467,1
5825.584837262756,9317.523234395016,10586.70335127809,7702.425600698388,1
6669.899531509985,11077.3169247001,15069.804413613678,9558.23792545055,1
6473.258513744525,9819.707028175384,12439.944204971758,9206.27424973197,1
3321.1169707213376,6595.874069430271,9189.584689187292,4662.625559486277,1
4633.4643728528445,6682.404329461007,10536.605556918468,6075.676690708203,1
1942.2725221621836,4768.430700523613,8167.961685557547,2473.691641907091,1
1379.8850189388322,4053.949610473252,6816.174281604078,2047.1962668408785,1
1919.7130294660387,4731.923559918704,7134.243002542747,2622.6380645246763,1
8150.731651939906,12449.73551068607,13650.25299050399,11191.193286825095,1
7468.473878873056,13295.4272861315,13573.14150926766,11119.399483605132,1
8025.36804128139,14225.475995490622,16543.987767786715,11205.535859771588,1
5738.7076809600985,8466.878249322639,12452.918252673391,7793.024076065637,1
2423.177976324894,4652.367909587227,9760.91642892171,2770.283490524356,1
2297.8733815959204,5536.078497316971,8311.414857068357,2936.22901383776,1
2648.3447499541053,5669.639922324783,8608.548690594153,3409.107172119184,1
8709.353617417664,14056.042174047045,15308.655595786136,12834.054743666004,1
10214.410089168816,15141.63153642349,16216.96738178491,13916.078179368258,1
9194.045552220843,15086.615803352308,16897.27341192034,14970.923072209798,1
